step,elapsed_sec,tokens,lr,train_loss,val_loss,tok_per_sec
50,64.7,819200,7.762499e-05,8.8248,,12660
100,133.6,1638400,1.432500e-04,8.1182,,11893
150,203.8,2457600,2.088750e-04,7.8031,,11673
200,274.0,3276800,2.745000e-04,7.5163,,11669
250,342.9,4096000,3.401250e-04,7.2892,,11879
300,411.6,4915200,4.057500e-04,7.1017,,11941
350,480.2,5734400,4.713750e-04,6.9601,,11937
400,548.7,6553600,5.370000e-04,6.8372,,11962
450,617.7,7372800,6.000000e-04,6.7397,,11872
500,686.2,8192000,5.999925e-04,6.6442,,11950
500,694.1,8192000,,,6.5538,
550,763.4,9011200,5.999713e-04,6.5386,,10615
600,832.0,9830400,5.999363e-04,6.4432,,11936
650,900.6,10649600,5.998876e-04,6.3876,,11943
700,969.2,11468800,5.998250e-04,6.3002,,11948
750,1043.3,12288000,5.997487e-04,6.2407,,11053
800,1113.4,13107200,5.996586e-04,6.1566,,11684
850,1182.6,13926400,5.995547e-04,6.0806,,11842
900,1251.4,14745600,5.994372e-04,6.0227,,11905
950,1320.9,15564800,5.993058e-04,5.9477,,11786
1000,1389.8,16384000,5.991607e-04,5.9005,,11897
1000,1397.7,16384000,,,5.8533,
1050,1467.0,17203200,5.990019e-04,5.8371,,10602
1100,1536.0,18022400,5.988294e-04,5.7882,,11881
1150,1604.7,18841600,5.986431e-04,5.7457,,11927
1200,1673.5,19660800,5.984431e-04,5.6869,,11909
1250,1748.8,20480000,5.982295e-04,5.6557,,10878
1300,1870.1,21299200,5.980021e-04,5.6169,,6753
1350,1989.5,22118400,5.977611e-04,5.6158,,6860
1400,2058.9,22937600,5.975064e-04,5.5498,,11793
1450,2127.9,23756800,5.972380e-04,5.5418,,11881
1500,2239.4,24576000,5.969560e-04,5.5036,,7345
1500,2253.6,24576000,,,5.4836,
1550,2371.7,25395200,5.966604e-04,5.4883,,6195
1600,2451.9,26214400,5.963512e-04,5.4383,,10205
1650,2521.2,27033600,5.960284e-04,5.4512,,11825
1700,2590.1,27852800,5.956920e-04,5.3957,,11895
1750,2659.0,28672000,5.953421e-04,5.3796,,11880
1800,2728.1,29491200,5.949786e-04,5.3618,,11870
1850,2797.1,30310400,5.946016e-04,5.3318,,11860
1900,2866.6,31129600,5.942110e-04,5.3268,,11799
1950,2935.2,31948800,5.938071e-04,5.3006,,11926
2000,3004.1,32768000,5.933896e-04,5.2958,,11895
2000,3012.1,32768000,,,5.2817,
2050,3080.8,33587200,5.929587e-04,5.2686,,10685
2100,3149.9,34406400,5.925144e-04,5.2672,,11854
2150,3218.5,35225600,5.920567e-04,5.2418,,11935
2200,3286.9,36044800,5.915856e-04,5.2292,,11991
2250,3355.1,36864000,5.911012e-04,5.2104,,12003
2300,3423.4,37683200,5.906034e-04,5.2100,,11996
2350,3491.1,38502400,5.900923e-04,5.1936,,12108
