step,elapsed_sec,tokens,lr,train_loss,val_loss,tok_per_sec
50,11.1,409600,3.060000e-04,7.5782,,36775
100,25.1,819200,6.000000e-04,6.9256,,29414
100,26.7,819200,,,6.6707,
150,40.8,1228800,5.997281e-04,6.5785,,25951
200,54.8,1638400,5.989131e-04,6.3865,,29304
200,56.5,1638400,,,6.2865,
250,70.6,2048000,5.975564e-04,6.2573,,25961
300,84.5,2457600,5.956610e-04,6.1687,,29373
300,86.1,2457600,,,6.1035,
350,99.9,2867200,5.932305e-04,6.1098,,26698
400,113.5,3276800,5.902699e-04,6.0449,,30019
400,115.2,3276800,,,5.9759,
450,129.3,3686400,5.867852e-04,5.9806,,26057
500,142.9,4096000,5.827834e-04,5.9367,,29987
500,144.5,4096000,,,5.8763,
550,158.2,4505600,5.782724e-04,5.8901,,26732
600,172.0,4915200,5.732616e-04,5.8300,,29858
600,173.6,4915200,,,5.7832,
650,187.4,5324800,5.677608e-04,5.7952,,26461
700,200.9,5734400,5.617811e-04,5.7599,,30319
700,202.5,5734400,,,5.6924,
750,216.5,6144000,5.553347e-04,5.7230,,26375
800,230.3,6553600,5.484346e-04,5.6523,,29539
800,231.9,6553600,,,5.5991,
850,245.6,6963200,5.410945e-04,5.6153,,26848
900,259.3,7372800,5.333293e-04,5.5773,,29997
900,260.8,7372800,,,5.5124,
950,274.5,7782400,5.251546e-04,5.5276,,26824
1000,288.1,8192000,5.165869e-04,5.5029,,30106
1000,289.7,8192000,,,5.4318,
1050,303.5,8601600,5.076434e-04,5.4634,,26597
1100,317.2,9011200,4.983423e-04,5.4415,,30023
1100,318.8,9011200,,,5.3641,
1150,332.4,9420800,4.887020e-04,5.4056,,26900
1200,346.0,9830400,4.787421e-04,5.3773,,30180
1200,347.5,9830400,,,5.3054,
1250,361.3,10240000,4.684828e-04,5.3424,,26794
1300,374.7,10649600,4.579445e-04,5.3107,,30361
1300,376.3,10649600,,,5.2432,
1350,389.9,11059200,4.471486e-04,5.2820,,27081
1400,403.4,11468800,4.361167e-04,5.2593,,30181
1400,405.1,11468800,,,5.1883,
1450,418.9,11878400,4.248712e-04,5.2497,,26441
1500,432.8,12288000,4.134346e-04,5.2100,,29570
1500,434.4,12288000,,,5.1374,
1550,448.1,12697600,4.018299e-04,5.1877,,26709
1600,461.9,13107200,3.900806e-04,5.1664,,29747
1600,463.4,13107200,,,5.0946,
1650,477.5,13516800,3.782103e-04,5.1342,,26318
1700,491.3,13926400,3.662430e-04,5.1259,,29500
1700,492.9,13926400,,,5.0485,
1750,506.6,14336000,3.542026e-04,5.0922,,26826
1800,520.2,14745600,3.421135e-04,5.0857,,30067
1800,521.8,14745600,,,5.0118,
1850,535.4,15155200,3.300000e-04,5.0488,,26962
1900,549.0,15564800,3.178865e-04,5.0412,,30252
1900,550.5,15564800,,,4.9696,
1950,564.1,15974400,3.057974e-04,5.0132,,27063
2000,577.8,16384000,2.937570e-04,5.0110,,29964
2000,579.3,16384000,,,4.9294,
2050,592.8,16793600,2.817896e-04,4.9898,,27172
2100,606.3,17203200,2.699193e-04,4.9544,,30458
2100,607.8,17203200,,,4.8996,
2150,621.3,17612800,2.581700e-04,4.9554,,27228
2200,634.8,18022400,2.465654e-04,4.9329,,30386
2200,636.4,18022400,,,4.8598,
2250,650.2,18432000,2.351288e-04,4.9295,,26557
2300,663.7,18841600,2.238832e-04,4.9048,,30452
2300,665.2,18841600,,,4.8250,
2350,678.7,19251200,2.128514e-04,4.8936,,27319
2400,691.5,19660800,2.020554e-04,4.8628,,31845
2400,692.9,19660800,,,4.7897,
2450,704.6,20070400,1.915171e-04,4.8565,,31280
2500,716.5,20480000,1.812578e-04,4.8344,,34591
2500,717.9,20480000,,,4.7596,
2550,731.3,20889600,1.712979e-04,4.8023,,27725
2600,743.4,21299200,1.616578e-04,4.8067,,33614
2600,744.9,21299200,,,4.7325,
2650,759.5,21708800,1.523565e-04,4.7924,,25552
2700,773.0,22118400,1.434131e-04,4.7884,,30288
2700,774.6,22118400,,,4.7086,
2750,787.2,22528000,1.348454e-04,4.7729,,28776
2800,800.0,22937600,1.266707e-04,4.7846,,32172
2800,801.4,22937600,,,4.6872,
2850,813.2,23347200,1.189055e-04,4.7624,,31002
2900,825.6,23756800,1.115654e-04,4.7387,,33043
2900,827.2,23756800,,,4.6706,
2950,839.9,24166400,1.046652e-04,4.7402,,28629
3000,851.8,24576000,9.821881e-05,4.7342,,34354
3000,853.2,24576000,,,4.6562,
3050,866.2,24985600,9.223918e-05,4.7118,,28406
3100,878.1,25395200,8.673839e-05,4.7213,,34501
3100,879.5,25395200,,,4.6401,
3150,892.5,25804800,8.172748e-05,4.7004,,28473
3200,904.7,26214400,7.721656e-05,4.7103,,33467
3200,906.1,26214400,,,4.6285,
3250,918.3,26624000,7.321472e-05,4.7015,,30099
3300,930.3,27033600,6.973003e-05,4.6845,,34294
3300,931.6,27033600,,,4.6190,
3350,943.7,27443200,6.676946e-05,4.6924,,30474
3400,955.7,27852800,6.433902e-05,4.6929,,34222
3400,957.1,27852800,,,4.6093,
3450,969.3,28262400,6.244356e-05,4.6728,,30116
3500,981.2,28672000,6.108694e-05,4.6639,,34470
3500,982.5,28672000,,,4.6022,
3550,994.5,29081600,6.027186e-05,4.6695,,30688
3600,1006.4,29491200,6.000000e-05,4.6612,,34438
3600,1007.8,29491200,,,4.5964,
