step,elapsed_sec,tokens,lr,train_loss,val_loss,tok_per_sec
50,10.5,409600,3.060000e-04,7.5794,,39070
100,23.1,819200,6.000000e-04,6.9392,,32418
100,24.7,819200,,,6.6908,
150,37.8,1228800,5.997281e-04,6.5699,,27823
200,51.2,1638400,5.989131e-04,6.3921,,30689
200,52.8,1638400,,,6.2957,
250,66.5,2048000,5.975564e-04,6.2483,,26803
300,80.5,2457600,5.956610e-04,6.1522,,29252
300,82.1,2457600,,,6.1028,
350,96.1,2867200,5.932305e-04,6.0649,,26189
400,110.0,3276800,5.902699e-04,6.0072,,29498
400,111.6,3276800,,,5.9703,
450,125.6,3686400,5.867852e-04,5.9420,,26186
500,139.6,4096000,5.827834e-04,5.8874,,29393
500,141.2,4096000,,,5.8580,
550,155.1,4505600,5.782724e-04,5.8124,,26436
600,168.9,4915200,5.732616e-04,5.7775,,29642
600,170.5,4915200,,,5.7593,
650,184.6,5324800,5.677608e-04,5.7202,,26141
700,198.4,5734400,5.617811e-04,5.6620,,29613
700,200.0,5734400,,,5.6512,
750,214.0,6144000,5.553347e-04,5.6048,,26246
800,227.9,6553600,5.484346e-04,5.5605,,29554
800,229.5,6553600,,,5.5575,
850,243.2,6963200,5.410945e-04,5.5121,,26618
900,257.1,7372800,5.333293e-04,5.4594,,29472
900,258.7,7372800,,,5.4788,
950,272.3,7782400,5.251546e-04,5.4207,,27104
1000,286.1,8192000,5.165869e-04,5.3810,,29531
1000,287.7,8192000,,,5.4059,
1050,301.4,8601600,5.076434e-04,5.3508,,26778
1100,313.4,9011200,4.983423e-04,5.3073,,34095
1100,314.9,9011200,,,5.3403,
1150,326.7,9420800,4.887020e-04,5.2859,,30770
1200,338.5,9830400,4.787421e-04,5.2492,,34957
1200,339.8,9830400,,,5.2825,
1250,352.0,10240000,4.684828e-04,5.2182,,30292
1300,364.0,10649600,4.579445e-04,5.1769,,34218
1300,365.3,10649600,,,5.2342,
1350,377.3,11059200,4.471486e-04,5.1677,,30586
1400,389.1,11468800,4.361167e-04,5.1360,,34888
1400,390.3,11468800,,,5.1872,
1450,403.0,11878400,4.248712e-04,5.1077,,29498
1500,416.3,12288000,4.134346e-04,5.0924,,30663
1500,417.6,12288000,,,5.1392,
1550,429.9,12697600,4.018299e-04,5.0543,,30187
1600,443.2,13107200,3.900806e-04,5.0040,,30879
1600,444.7,13107200,,,5.1031,
1650,457.8,13516800,3.782103e-04,5.0068,,27967
1700,470.8,13926400,3.662430e-04,4.9735,,31576
1700,472.3,13926400,,,5.0573,
1750,485.3,14336000,3.542026e-04,4.9459,,28266
1800,498.2,14745600,3.421135e-04,4.9159,,31704
1800,499.7,14745600,,,5.0235,
1850,512.3,15155200,3.300000e-04,4.9092,,29015
1900,525.8,15564800,3.178865e-04,4.8784,,30438
1900,527.3,15564800,,,4.9867,
1950,541.1,15974400,3.057974e-04,4.8641,,26779
2000,554.9,16384000,2.937570e-04,4.8575,,29504
2000,556.6,16384000,,,4.9527,
2050,570.2,16793600,2.817896e-04,4.8152,,26912
2100,583.3,17203200,2.699193e-04,4.8083,,31236
2100,584.8,17203200,,,4.9223,
2150,598.6,17612800,2.581700e-04,4.7748,,26756
2200,611.7,18022400,2.465654e-04,4.7753,,31298
2200,613.3,18022400,,,4.8994,
2250,626.4,18432000,2.351288e-04,4.7565,,27832
2300,639.4,18841600,2.238832e-04,4.7426,,31518
2300,640.9,18841600,,,4.8651,
2350,654.4,19251200,2.128514e-04,4.7117,,27212
2400,667.9,19660800,2.020554e-04,4.7104,,30424
2400,669.5,19660800,,,4.8398,
2450,682.9,20070400,1.915171e-04,4.6989,,27289
2500,695.9,20480000,1.812578e-04,4.6756,,31614
2500,697.4,20480000,,,4.8162,
2550,710.7,20889600,1.712979e-04,4.6659,,27703
2600,723.6,21299200,1.616578e-04,4.6565,,31677
2600,725.1,21299200,,,4.7890,
2650,738.7,21708800,1.523565e-04,4.6480,,27152
2700,751.4,22118400,1.434131e-04,4.6324,,32126
2700,752.9,22118400,,,4.7706,
2750,766.4,22528000,1.348454e-04,4.6301,,27419
2800,779.6,22937600,1.266707e-04,4.6001,,30989
2800,781.1,22937600,,,4.7542,
2850,794.7,23347200,1.189055e-04,4.5845,,27025
2900,808.4,23756800,1.115654e-04,4.5973,,30016
2900,809.9,23756800,,,4.7368,
2950,823.2,24166400,1.046652e-04,4.5927,,27636
3000,836.5,24576000,9.821881e-05,4.5734,,30855
3000,838.0,24576000,,,4.7216,
3050,852.0,24985600,9.223918e-05,4.5854,,26377
3100,866.2,25395200,8.673839e-05,4.5632,,28936
3100,867.8,25395200,,,4.7098,
3150,881.8,25804800,8.172748e-05,4.5465,,26173
3200,895.6,26214400,7.721656e-05,4.5282,,29737
3200,897.2,26214400,,,4.7008,
3250,911.1,26624000,7.321472e-05,4.5257,,26318
3300,925.0,27033600,6.973003e-05,4.5288,,29496
3300,926.6,27033600,,,4.6898,
3350,940.3,27443200,6.676946e-05,4.5261,,26840
3400,954.2,27852800,6.433902e-05,4.5402,,29531
3400,955.8,27852800,,,4.6828,
3450,969.9,28262400,6.244356e-05,4.5123,,26037
3500,983.9,28672000,6.108694e-05,4.5326,,29202
3500,985.5,28672000,,,4.6761,
3550,999.5,29081600,6.027186e-05,4.5214,,26233
3600,1013.2,29491200,6.000000e-05,4.5164,,29858
3600,1014.8,29491200,,,4.6673,
