step,elapsed_sec,tokens,lr,train_loss,val_loss,tok_per_sec
50,11.6,409600,3.060000e-04,7.5717,,35381
100,23.0,819200,6.000000e-04,6.9303,,35831
100,24.3,819200,,,6.6793,
150,35.7,1228800,5.997281e-04,6.5988,,32388
200,47.1,1638400,5.989131e-04,6.4040,,35833
200,48.5,1638400,,,6.3028,
250,62.4,2048000,5.975564e-04,6.2597,,26788
300,75.7,2457600,5.956610e-04,6.1771,,30691
300,77.3,2457600,,,6.1109,
350,90.6,2867200,5.932305e-04,6.1137,,27533
400,104.0,3276800,5.902699e-04,6.0592,,30644
400,105.5,3276800,,,5.9829,
450,118.8,3686400,5.867852e-04,5.9810,,27547
500,132.4,4096000,5.827834e-04,5.9259,,30189
500,133.9,4096000,,,5.8740,
550,147.6,4505600,5.782724e-04,5.8765,,26940
600,161.1,4915200,5.732616e-04,5.8369,,30344
600,162.7,4915200,,,5.7745,
650,176.3,5324800,5.677608e-04,5.7999,,26994
700,189.6,5734400,5.617811e-04,5.7525,,30658
700,191.2,5734400,,,5.6809,
750,204.5,6144000,5.553347e-04,5.7204,,27593
800,217.9,6553600,5.484346e-04,5.6560,,30511
800,219.4,6553600,,,5.5796,
850,233.1,6963200,5.410945e-04,5.6128,,26971
900,246.8,7372800,5.333293e-04,5.5760,,29995
900,248.3,7372800,,,5.5086,
950,262.0,7782400,5.251546e-04,5.5342,,26848
1000,275.4,8192000,5.165869e-04,5.5103,,30477
1000,277.0,8192000,,,5.4209,
1050,290.5,8601600,5.076434e-04,5.4745,,27239
1100,304.0,9011200,4.983423e-04,5.4358,,30374
1100,305.5,9011200,,,5.3536,
1150,319.0,9420800,4.887020e-04,5.3823,,27217
1200,332.6,9830400,4.787421e-04,5.3682,,30269
1200,334.1,9830400,,,5.2875,
1250,347.5,10240000,4.684828e-04,5.3397,,27430
1300,360.8,10649600,4.579445e-04,5.3093,,30668
1300,362.4,10649600,,,5.2361,
1350,375.8,11059200,4.471486e-04,5.2896,,27343
1400,389.1,11468800,4.361167e-04,5.2596,,30733
1400,390.7,11468800,,,5.1831,
1450,404.3,11878400,4.248712e-04,5.2361,,27019
1500,417.6,12288000,4.134346e-04,5.2018,,30916
1500,419.1,12288000,,,5.1287,
1550,432.6,12697600,4.018299e-04,5.1925,,27230
1600,446.0,13107200,3.900806e-04,5.1635,,30681
1600,447.5,13107200,,,5.0872,
1650,461.0,13516800,3.782103e-04,5.1397,,27137
1700,474.5,13926400,3.662430e-04,5.1053,,30446
1700,476.0,13926400,,,5.0436,
1750,489.6,14336000,3.542026e-04,5.1268,,27107
1800,503.0,14745600,3.421135e-04,5.0813,,30661
1800,504.5,14745600,,,5.0007,
1850,518.2,15155200,3.300000e-04,5.0542,,26800
1900,531.8,15564800,3.178865e-04,5.0325,,30289
1900,533.4,15564800,,,4.9503,
1950,547.2,15974400,3.057974e-04,5.0127,,26589
2000,560.6,16384000,2.937570e-04,4.9971,,30473
2000,562.2,16384000,,,4.9086,
2050,575.8,16793600,2.817896e-04,4.9767,,27058
2100,589.2,17203200,2.699193e-04,4.9511,,30381
2100,590.8,17203200,,,4.8664,
2150,604.2,17612800,2.581700e-04,4.9207,,27394
2200,617.7,18022400,2.465654e-04,4.9121,,30336
2200,619.3,18022400,,,4.8216,
2250,633.1,18432000,2.351288e-04,4.9108,,26573
2300,646.9,18841600,2.238832e-04,4.9027,,29792
2300,648.5,18841600,,,4.7883,
2350,662.3,19251200,2.128514e-04,4.8686,,26537
2400,675.7,19660800,2.020554e-04,4.8497,,30480
2400,677.3,19660800,,,4.7560,
2450,691.0,20070400,1.915171e-04,4.8339,,26737
2500,704.6,20480000,1.812578e-04,4.8300,,30304
2500,706.2,20480000,,,4.7241,
2550,719.9,20889600,1.712979e-04,4.8102,,26801
2600,733.2,21299200,1.616578e-04,4.7747,,30709
2600,734.7,21299200,,,4.6986,
2650,748.4,21708800,1.523565e-04,4.7724,,26891
2700,761.9,22118400,1.434131e-04,4.7892,,30364
2700,763.4,22118400,,,4.6784,
2750,777.0,22528000,1.348454e-04,4.7585,,27226
2800,790.4,22937600,1.266707e-04,4.7563,,30570
2800,791.9,22937600,,,4.6585,
2850,805.3,23347200,1.189055e-04,4.7328,,27359
2900,818.9,23756800,1.115654e-04,4.7323,,30253
2900,820.5,23756800,,,4.6417,
2950,834.3,24166400,1.046652e-04,4.7235,,26557
3000,847.9,24576000,9.821881e-05,4.7211,,30129
3000,849.5,24576000,,,4.6286,
3050,863.4,24985600,9.223918e-05,4.7210,,26435
3100,877.1,25395200,8.673839e-05,4.7131,,29803
3100,878.7,25395200,,,4.6150,
3150,892.4,25804800,8.172748e-05,4.7114,,26827
3200,906.1,26214400,7.721656e-05,4.6955,,29925
3200,907.6,26214400,,,4.6057,
3250,921.6,26624000,7.321472e-05,4.6940,,26466
3300,935.0,27033600,6.973003e-05,4.6810,,30355
3300,936.6,27033600,,,4.5969,
3350,950.2,27443200,6.676946e-05,4.6853,,27008
3400,963.8,27852800,6.433902e-05,4.6711,,30178
3400,965.4,27852800,,,4.5867,
3450,979.0,28262400,6.244356e-05,4.6703,,26934
3500,992.5,28672000,6.108694e-05,4.6437,,30253
3500,994.1,28672000,,,4.5807,
3550,1007.7,29081600,6.027186e-05,4.6713,,26932
3600,1021.2,29491200,6.000000e-05,4.6575,,30447
3600,1022.8,29491200,,,4.5767,
