step,elapsed_sec,tokens,lr,train_loss,val_loss,tok_per_sec
50,57.6,819200,1.215484e-04,3.9791,,14221
100,119.0,1638400,1.498740e-04,3.6640,,13344
150,192.5,2457600,1.493251e-04,3.4974,,11139
200,253.1,3276800,1.483441e-04,3.3904,,13534
200,260.0,3276800,,,3.5286,
250,321.0,4096000,1.469370e-04,3.3336,,12066
300,381.3,4915200,1.451125e-04,3.2640,,13588
350,441.7,5734400,1.428817e-04,3.2029,,13550
400,501.9,6553600,1.402582e-04,3.1680,,13612
400,508.8,6553600,,,3.4346,
450,569.4,7372800,1.372581e-04,3.1053,,12135
500,629.5,8192000,1.338999e-04,3.0820,,13634
550,689.7,9011200,1.302040e-04,3.0418,,13604
600,749.8,9830400,1.261930e-04,3.0138,,13623
600,756.8,9830400,,,3.3863,
650,817.2,10649600,1.218916e-04,2.9714,,12161
700,872.5,11468800,1.173261e-04,2.9417,,14811
750,927.9,12288000,1.125244e-04,2.9263,,14781
800,983.4,13107200,1.075159e-04,2.8800,,14780
800,989.3,13107200,,,3.3716,
850,1044.6,13926400,1.023313e-04,2.8790,,13373
900,1099.9,14745600,9.700226e-05,2.8524,,14827
950,1155.3,15564800,9.156152e-05,2.8311,,14777
1000,1210.8,16384000,8.604235e-05,2.7916,,14750
1000,1216.7,16384000,,,3.3537,
1050,1272.4,17203200,8.047852e-05,2.7931,,13318
1100,1328.0,18022400,7.490411e-05,2.7641,,14724
1150,1383.7,18841600,6.935326e-05,2.7628,,14713
1200,1439.1,19660800,6.385994e-05,2.7299,,14777
1200,1444.9,19660800,,,3.3456,
1250,1500.7,20480000,5.845777e-05,2.7294,,13294
1300,1556.1,21299200,5.317984e-05,2.7084,,14796
1350,1611.6,22118400,4.805846e-05,2.7078,,14762
1400,1667.1,22937600,4.312499e-05,2.6934,,14756
1400,1673.0,22937600,,,3.3381,
1450,1731.2,23756800,3.840963e-05,2.6816,,12788
1500,1791.1,24576000,3.394126e-05,2.6789,,13678
1550,1850.9,25395200,2.974722e-05,2.6654,,13679
1600,1911.1,26214400,2.585319e-05,2.6532,,13612
1600,1918.0,26214400,,,3.3349,
1650,1978.1,27033600,2.228303e-05,2.6537,,12230
1700,2037.8,27852800,1.905859e-05,2.6448,,13726
1750,2097.6,28672000,1.619958e-05,2.6607,,13688
1800,2157.6,29491200,1.372355e-05,2.6521,,13665
1800,2164.4,29491200,,,3.3307,
1850,2224.6,30310400,1.164563e-05,2.6470,,12227
1900,2284.6,31129600,9.978557e-06,2.6319,,13660
1950,2344.3,31948800,8.732528e-06,2.6303,,13703
2000,2403.9,32768000,7.915179e-06,2.6429,,13751
2000,2410.6,32768000,,,3.3303,
2050,2471.0,33587200,7.531507e-06,2.6168,,12215
2069,2500.5,33898496,,,3.3296,
